,ParentAirline,Airline,AircraftType,Current,Future,Historic,Total,Orders,UnitCost,TotalCost(Current),AverageAge,Region
0,Aegean Airlines,Aegean Airlines,Airbus A319,1.0,,3.0,4.0,,$90,$90,11.6, Europe
1,Aegean Airlines,Olympic Air,Airbus A319,,,8.0,8.0,,$90,$0,, Europe
2,Aegean Airlines,Aegean Airlines,Airbus A320,38.0,,3.0,41.0,,$98,"$3,724",7.5, Europe
3,Aegean Airlines,Olympic Air,Airbus A320,,,9.0,9.0,,$98,$0,, Europe
4,Aegean Airlines,Aegean Airlines,Airbus A321,8.0,,,8.0,,$115,$919,10.3, Europe
5,Aegean Airlines,Olympic Air,ATR 42/72,2.0,,,2.0,,$22,$44,2.4, Europe
6,Aegean Airlines,Aegean Airlines,ATR 42/72,,,6.0,6.0,,$22,$0,, Europe
7,Aegean Airlines,Aegean Airlines,Boeing 737,,,17.0,17.0,,$74,$0,, Europe
8,Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,,,6.0,6.0,,$14,$0,, Europe
9,Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12.0,,7.0,19.0,,$31,$376,12.6, Europe
10,Aeroflot,Aeroflot,Airbus A310,,,14.0,14.0,,$75,$0,, Europe
11,Aeroflot,Rossiya Airlines,Airbus A319,26.0,,5.0,31.0,,$90,"$2,330",12.7, Europe
12,Aeroflot,Aeroflot,Airbus A319,,,15.0,15.0,,$90,$0,, Europe
13,Aeroflot,Aurora Airlines,Airbus A319,10.0,,,10.0,,$90,$896,11.0, Europe
14,Aeroflot,Aeroflot,Airbus A320,71.0,1.0,3.0,75.0,11.0,$98,"$6,958",5.7, Europe
15,Aeroflot,Rossiya Airlines,Airbus A320,5.0,,8.0,13.0,,$98,$490,15.2, Europe
16,Aeroflot,Aeroflot,Airbus A321,31.0,,8.0,39.0,9.0,$115,"$3,562",3.6, Europe
17,Aeroflot,Aeroflot,Airbus A330,22.0,,,22.0,,$240,"$5,280",5.9, Europe
18,Aeroflot,Aeroflot,Airbus A350,,,,,22.0,$312,$0,, Europe
19,Aeroflot,Aeroflot,Antonov An-124,,,3.0,3.0,,$75,$0,, Europe
20,Aeroflot,Rossiya Airlines,Antonov An-124,,,2.0,2.0,,$75,$0,, Europe
21,Aeroflot,Rossiya Airlines,Antonov An-148/An-158,,,6.0,6.0,,$28,$0,, Europe
22,Aeroflot,Aeroflot,Boeing 737,20.0,1.0,16.0,37.0,26.0,$74,"$1,480",1.6, Europe
23,Aeroflot,Pobeda,Boeing 737,12.0,,,12.0,,$74,$888,2.1, Europe
24,Aeroflot,Rossiya Airlines,Boeing 737,17.0,1.0,5.0,23.0,,$74,"$1,258",9.6, Europe
25,Aeroflot,Aurora Airlines,Boeing 737,,,5.0,5.0,,$74,$0,, Europe
26,Aeroflot,Rossiya Airlines,Boeing 747,7.0,2.0,,9.0,2.0,$316,"$2,211",16.7, Europe
27,Aeroflot,Aeroflot,Boeing 767,,,13.0,13.0,,$187,$0,, Europe
28,Aeroflot,Rossiya Airlines,Boeing 767,,,3.0,3.0,,$187,$0,, Europe
29,Aeroflot,Aeroflot,Boeing 777,15.0,,2.0,17.0,1.0,$295,"$4,418",2.5, Europe
30,Aeroflot,Rossiya Airlines,Boeing 777,6.0,5.0,1.0,12.0,5.0,$295,"$1,767",17.7, Europe
31,Aeroflot,Aeroflot,Boeing 787,,,,,22.0,$265,$0,, Europe
32,Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,8.0,2.0,1.0,12.0,,$31,$250,14.8, Europe
33,Aeroflot,Rossiya Airlines,Ilyushin Il-62,,,1.0,1.0,,$45,$0,, Europe
34,Aeroflot,Aeroflot,Ilyushin Il-96,,,10.0,10.0,,$45,$0,, Europe
35,Aeroflot,Rossiya Airlines,Ilyushin Il-96,,,5.0,5.0,,$45,$0,, Europe
36,Aeroflot,Aeroflot,Irkut MC-21,,,,,50.0,$82,$0,, Europe
37,Aeroflot,Aeroflot,McDonnell Douglas DC-10,,,3.0,3.0,,$145,$0,, Europe
38,Aeroflot,Aeroflot,McDonnell Douglas MD-11,,,3.0,3.0,,$175,$0,, Europe
39,Aeroflot,Rossiya Airlines,Sukhoi Superjet 100,,,,,20.0,$28,$0,, Europe
40,Aeroflot,Aeroflot,Sukhoi Superjet 100,30.0,,10.0,40.0,20.0,$28,$825,2.2, Europe
41,Aeroflot,Aeroflot,Tupolev Tu-134,,,1.0,1.0,,$16,$0,, Europe
42,Aeroflot,Rossiya Airlines,Tupolev Tu-154,,,1.0,1.0,,$16,$0,, Europe
43,Aeroflot,Aeroflot,Tupolev Tu-204,,,3.0,3.0,,$16,$0,, Europe
44,Aeroflot,Rossiya Airlines,Tupolev Tu-204,,,2.0,2.0,,$16,$0,, Europe
45,Aeroflot,Rossiya Airlines,Tupolev Tu-214,,,3.0,3.0,,$16,$0,, Europe
46,Aeroflot,Aurora Airlines,Viking Air DHC 6-400 Twin Otter,2.0,,,,,$7,$13,, Europe
47,Aeroflot,Aeroflot,Yakovlev Yak-42,,,1.0,1.0,,,$0,, Europe
48,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,,,5.0,5.0,,$75,$0,, South America
49,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,,,2.0,2.0,,$98,$0,, South America
50,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9.0,1.0,,10.0,,$240,"$2,160",9.3, South America
51,Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5.0,,8.0,13.0,,$216,"$1,078",19.3, South America
52,Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40.0,1.0,77.0,118.0,,$74,"$2,959",6.6, South America
53,Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,,,8.0,8.0,,$74,$0,, South America
54,Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,,,17.0,17.0,,$316,$0,, South America
55,Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,,,1.0,1.0,,$73,$0,, South America
56,Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,26.0,1.0,,27.0,,$46,"$1,201",5.4, South America
57,Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,,,14.0,14.0,,$45,$0,, South America
58,Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,,,7.0,7.0,,$45,$0,, South America
59,Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,,,28.0,28.0,,$45,$0,, South America
60,Air Algerie,Air Algerie,Airbus A300,,,2.0,2.0,,$75,$0,, Africa
61,Air Algerie,Air Algerie,Airbus A310,,,6.0,6.0,,$75,$0,, Africa
62,Air Algerie,Air Algerie,Airbus A320,,,4.0,4.0,,$98,$0,, Africa
63,Air Algerie,Air Algerie,Airbus A330,8.0,,4.0,12.0,,$240,"$1,920",8.1, Africa
64,Air Algerie,Air Algerie,Airbus A340,,,3.0,3.0,,$216,$0,, Africa
65,Air Algerie,Air Algerie,ATR 42/72,15.0,,,15.0,,$22,$332,10.4, Africa
66,Air Algerie,Air Algerie,Boeing 737,31.0,1.0,38.0,70.0,2.0,$74,"$2,293",8.6, Africa
67,Air Algerie,Air Algerie,Boeing 747,,,14.0,14.0,,$316,$0,, Africa
68,Air Algerie,Air Algerie,Boeing 767,2.0,,7.0,9.0,,$187,$374,26.3, Africa
69,Air Algerie,Air Algerie,Boeing 777,,,2.0,2.0,,$295,$0,, Africa
70,Air Algerie,Air Algerie,Boeing 787,,,,,8.0,$265,$0,, Africa
71,Air Algerie,Air Algerie,McDonnell Douglas DC-10,,,2.0,2.0,,$145,$0,, Africa
72,Air Algerie,Air Algerie,McDonnell Douglas DC-8,,,24.0,24.0,,$6,$0,, Africa
73,Air Arabia,Air Arabia,Airbus A320,38.0,,28.0,66.0,,$98,"$3,724",2.9, Middle East
74,Air Arabia,Air Arabia Egypt,Airbus A320,1.0,,2.0,3.0,,$98,$98,9.6, Middle East
75,Air Arabia,Air Arabia Jordan,Airbus A320,2.0,,1.0,3.0,,$98,$196,10.0, Middle East
76,Air Arabia,Air Arabia Maroc,Airbus A320,5.0,,5.0,10.0,,$98,$490,4.4, Middle East
77,Air Astana,Air Astana,Airbus A319,1.0,,,1.0,,$90,$90,8.4, Asia
78,Air Astana,Air Astana,Airbus A320,9.0,,6.0,15.0,2.0,$98,$882,3.6, Asia
79,Air Astana,Air Astana,Airbus A321,4.0,,,4.0,8.0,$115,$460,10.6, Asia
80,Air Astana,Air Astana,Boeing 737,,,4.0,4.0,,$74,$0,, Asia
81,Air Astana,Air Astana,Boeing 757,5.0,,,5.0,,$73,$363,19.5, Asia
82,Air Astana,Air Astana,Boeing 767,3.0,,2.0,5.0,,$187,$561,3.0, Asia
83,Air Astana,Air Astana,Boeing 787,,,,,3.0,$265,$0,, Asia
84,Air Astana,Air Astana,Embraer ERJ-190,9.0,,,9.0,,$46,$416,4.5, Asia
85,Air Astana,Air Astana,Fokker F50 / F60,,,6.0,6.0,,$18,$0,, Asia
86,Air Berlin,Air Berlin,Airbus A319,6.0,,15.0,21.0,,$90,$538,8.5, Europe
87,Air Berlin,Air Berlin,Airbus A320,54.0,7.0,50.0,111.0,,$98,"$5,292",7.6, Europe
88,Air Berlin,Air Berlin,Airbus A321,21.0,,2.0,23.0,2.0,$115,"$2,413",6.0, Europe
89,Air Berlin,Air Berlin,Airbus A330,15.0,2.0,3.0,20.0,2.0,$240,"$3,600",13.1, Europe
90,Air Berlin,Air Berlin,ATR 42/72,,,1.0,1.0,,$22,$0,, Europe
91,Air Berlin,Air Berlin,Boeing 737,14.0,,141.0,155.0,,$74,"$1,036",9.5, Europe
92,Air Berlin,Air Berlin,Boeing 757,,,4.0,4.0,,$73,$0,, Europe
93,Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,,,4.0,4.0,,$14,$0,, Europe
94,Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20.0,,,20.0,1.0,$31,$626,7.4, Europe
95,Air Berlin,Air Berlin,Embraer ERJ-190,,,3.0,3.0,,$46,$0,, Europe
96,Air Berlin,Air Berlin,Fokker F70 / F100,,,18.0,18.0,,$20,$0,, Europe
97,Air Berlin,Air Berlin,McDonnell Douglas MD-80,,,1.0,1.0,,$45,$0,, Europe
98,Air Canada,Air Canada,Airbus A319,15.0,,33.0,48.0,,$90,"$1,344",18.9, North America
99,Air Canada,Air Canada Jetz,Airbus A319,3.0,,2.0,5.0,,$90,$269,18.7, North America
100,Air Canada,Air Canada Rouge,Airbus A319,20.0,,,20.0,,$90,"$1,792",18.6, North America
101,Air Canada,Air Canada,Airbus A320,42.0,,13.0,55.0,,$98,"$4,116",23.3, North America
102,Air Canada,Air Canada Jetz,Airbus A320,,,5.0,5.0,,,$0,, North America
103,Air Canada,Air Canada,Airbus A321,15.0,,3.0,18.0,,$115,"$1,724",13.7, North America
104,Air Canada,Air Canada Rouge,Airbus A321,5.0,,,5.0,,$115,$575,1.0, North America
105,Air Canada,Air Canada,Airbus A330,8.0,,,8.0,,$240,"$1,920",16.3, North America
106,Air Canada,Air Canada,Airbus A340,,,15.0,15.0,,$216,$0,, North America
107,Air Canada,Air Canada,Boeing 727,,,28.0,28.0,,$4,$0,, North America
108,Air Canada,Air Canada,Boeing 737,,,44.0,44.0,61.0,$74,$0,, North America
109,Air Canada,Air Canada Jetz,Boeing 737,,,2.0,2.0,,$74,$0,, North America
110,Air Canada,Air Canada,Boeing 747,,,15.0,15.0,,$316,$0,, North America
111,Air Canada,Air Canada,Boeing 767,15.0,,48.0,63.0,,$187,"$2,804",25.8, North America
112,Air Canada,Air Canada Rouge,Boeing 767,19.0,,,19.0,6.0,$187,"$3,551",18.6, North America
113,Air Canada,Air Canada,Boeing 777,25.0,,,25.0,,$295,"$7,364",7.1, North America
114,Air Canada,Air Canada,Boeing 787 Dreamliner,21.0,3.0,,24.0,16.0,$265,"$5,567",1.4, North America
115,Air Canada,Air Canada,Bombardier CS300,,,,,45.0,$72,$0,, North America
116,Air Canada,Air Canada,Canadair CRJ-100 Series,,,26.0,26.0,,$32,$0,, North America
117,Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1.0,,,1.0,,$32,$32,18.2, North America
118,Air Canada,Air Canada,Embraer ERJ-170,,,15.0,15.0,,$39,$0,, North America
119,Air Canada,Air Canada,Embraer ERJ-190,25.0,,20.0,45.0,,$46,"$1,155",9.5, North America
120,Air Canada,Air Canada,McDonnell Douglas DC-8,,,43.0,43.0,,$6,$0,, North America
121,Air Canada,Air Canada,McDonnell Douglas DC-9,,,64.0,64.0,,$45,$0,, North America
122,Air China,Air Macau (66.9%),Airbus A300,,,8.0,8.0,,$75,$0,, Asia
123,Air China,Air China,Airbus A319,33.0,,3.0,36.0,,$90,"$2,957",10.5, Asia
124,Air China,Shenzhen Airlines,Airbus A319,5.0,,,5.0,,$90,$448,10.5, Asia
125,Air China,Air Macau (66.9%),Airbus A319,4.0,,1.0,5.0,,$90,$358,14.1, Asia
126,Air China,Air China,Airbus A320,43.0,2.0,5.0,50.0,49.0,$98,"$4,214",4.6, Asia
127,Air China,Shenzhen Airlines,Airbus A320,79.0,1.0,1.0,81.0,,$98,"$7,742",5.3, Asia
128,Air China,Air Macau (66.9%),Airbus A320,3.0,,4.0,7.0,,$98,$294,3.9, Asia
129,Air China,Air China,Airbus A321,55.0,3.0,,58.0,,$115,"$6,320",5.3, Asia
130,Air China,Air Macau (66.9%),Airbus A321,10.0,,5.0,15.0,,$115,"$1,149",6.1, Asia
131,Air China,Air China,Airbus A330,54.0,1.0,,55.0,12.0,$240,"$12,960",5.8, Asia
132,Air China,Shenzhen Airlines,Airbus A330,,,,,6.0,$240,$0,, Asia
133,Air China,Air China,Airbus A340,,,6.0,6.0,,$216,$0,, Asia
134,Air China,Air China,Airbus A350 XWB,,1.0,,1.0,10.0,$312,$0,, Asia
135,Air China,Air China,Boeing 737,144.0,1.0,75.0,220.0,70.0,$74,"$10,653",6.6, Asia
136,Air China,Shenzhen Airlines,Boeing 737,87.0,,22.0,109.0,,$74,"$6,436",6.5, Asia
137,Air China,Shandong Airlines (51%),Boeing 737,98.0,1.0,16.0,115.0,36.0,$74,"$7,250",4.7, Asia
138,Air China,Air China Inner Mongolia,Boeing 737,3.0,,,3.0,,$74,$222,9.1, Asia
139,Air China,Kunming Airlines (80%),Boeing 737,18.0,,2.0,20.0,10.0,$74,"$1,332",4.7, Asia
140,Air China,Dalian Airlines (80%),Boeing 737,9.0,,,9.0,,$74,$666,4.5, Asia
141,Air China,Air China,Boeing 747,10.0,,18.0,28.0,,$316,"$3,158",7.5, Asia
142,Air China,Air China Cargo,Boeing 747,3.0,,12.0,15.0,,$316,$947,14.5, Asia
143,Air China,Air China,Boeing 757,,,13.0,13.0,,$73,$0,, Asia
144,Air China,Air Macau (66.9%),Boeing 757,,,1.0,1.0,,$73,$0,, Asia
145,Air China,Air China Cargo,Boeing 757,4.0,,,4.0,,$73,$290,20.4, Asia
146,Air China,Air China,Boeing 767,,,15.0,15.0,,$187,$0,, Asia
147,Air China,Air China,Boeing 777,29.0,,4.0,33.0,5.0,$295,"$8,542",6.2, Asia
148,Air China,Air China Cargo,Boeing 777,8.0,,,8.0,,$295,"$2,356",2.3, Asia
149,Air China,Air China,Boeing 787 Dreamliner,7.0,1.0,,8.0,9.0,$265,"$1,856",0.4, Asia
150,Air China,Air China,British Aerospace BAe 146/Avro RJ,,,4.0,4.0,,$14,$0,, Asia
151,Air China,Shandong Airlines (51%),Canadair CRJ-100 Series,,,12.0,12.0,,$32,$0,, Asia
152,Air China,Shandong Airlines (51%),Canadair CRJ-700,2.0,,,2.0,,$41,$82,13.3, Asia
153,Air China,Shandong Airlines (51%),Comac ARJ21,,,,,10.0,$30,$0,, Asia
154,Air China,Air China,COMAC C919,,,,,20.0,$68,$0,, Asia
155,Air China,Shandong Airlines (51%),Saab 340,,,1.0,1.0,,$8,$0,, Asia
156,Air China,Air China Cargo,Tupolev Tu-204,,,1.0,1.0,4.0,$16,$0,, Asia
157,Air Europa,Air Europa,Airbus A330,15.0,,2.0,17.0,,$240,"$3,600",10.4, Europe
158,Air Europa,Air Europa,Airbus A340,,,1.0,1.0,,$216,$0,, Europe
159,Air Europa,Air Europa,ATR 42/72,4.0,,6.0,10.0,,$22,$88,21.9, Europe
160,Air Europa,Air Europa,Boeing 737,21.0,,67.0,88.0,25.0,$74,"$1,554",8.0, Europe
161,Air Europa,Air Europa,Boeing 757,,,16.0,16.0,,$73,$0,, Europe
162,Air Europa,Air Europa,Boeing 767,,,7.0,7.0,,$187,$0,, Europe
163,Air Europa,Air Europa,Boeing 787 Dreamliner,3.0,4.0,1.0,8.0,21.0,$265,$795,0.5, Europe
164,Air Europa,Air Europa,Embraer ERJ-145,1.0,,,1.0,,$20,$20,16.9, Europe
165,Air Europa,Air Europa,Embraer ERJ-190,7.0,,4.0,11.0,,$46,$323,6.2, Europe
166,Air Europa,Air Europa,McDonnell Douglas MD-80,,,1.0,1.0,,$45,$0,, Europe
167,Air France/KLM,Air France,Aérospatiale/BAC Concorde,,,7.0,7.0,,$29,$0,, Europe
168,Air France/KLM,Air France,Airbus A300,,,25.0,25.0,,$75,$0,, Europe
169,Air France/KLM,Transavia,Airbus A300,,,1.0,1.0,,$75,$0,, Europe
170,Air France/KLM,Air France,Airbus A310,,,11.0,11.0,,$75,$0,, Europe
171,Air France/KLM,KLM,Airbus A310,,,11.0,11.0,,$75,$0,, Europe
172,Air France/KLM,Transavia,Airbus A310,,,1.0,1.0,,$75,$0,, Europe
173,Air France/KLM,Martinair,Airbus A310,,,2.0,2.0,,$75,$0,, Europe
174,Air France/KLM,Air France,Airbus A318,18.0,,,18.0,,$66,"$1,193",11.6, Europe
175,Air France/KLM,Air France,Airbus A319,38.0,,11.0,49.0,,$90,"$3,405",16.2, Europe
176,Air France/KLM,Air France,Airbus A320,43.0,,63.0,106.0,2.0,$98,"$4,214",9.2, Europe
177,Air France/KLM,Transavia France,Airbus A320,,,4.0,4.0,,$98,$0,, Europe
178,Air France/KLM,Martinair,Airbus A320,,,7.0,7.0,,$98,$0,, Europe
179,Air France/KLM,Air France,Airbus A321,20.0,,10.0,30.0,,$115,"$2,298",14.1, Europe
180,Air France/KLM,Air France,Airbus A330,15.0,,1.0,16.0,,$240,"$3,600",14.1, Europe
181,Air France/KLM,KLM,Airbus A330,13.0,,4.0,17.0,,$240,"$3,120",7.7, Europe
182,Air France/KLM,Air France,Airbus A340,11.0,,19.0,30.0,,$216,"$2,371",18.3, Europe
183,Air France/KLM,KLM,Airbus A350,,,,,7.0,$312,$0,, Europe
184,Air France/KLM,Air France,Airbus A350-900,,,,,28.0,$308,$0,, Europe
185,Air France/KLM,Air France,Airbus A380,10.0,,,10.0,,$433,"$4,326",5.9, Europe
186,Air France/KLM,HOP!,ATR 42/72,21.0,,8.0,29.0,,$22,$464,14.9, Europe
187,Air France/KLM,Air France,Boeing 727,,,5.0,5.0,,$4,$0,, Europe
188,Air France/KLM,Air France,Boeing 737,,,63.0,63.0,,$74,$0,, Europe
189,Air France/KLM,KLM,Boeing 737,48.0,,44.0,92.0,,$74,"$3,551",10.3, Europe
190,Air France/KLM,Transavia France,Boeing 737,26.0,,,26.0,,$74,"$1,923",5.5, Europe
191,Air France/KLM,Transavia,Boeing 737,37.0,2.0,74.0,113.0,,$74,"$2,737",9.0, Europe
192,Air France/KLM,Martinair,Boeing 737,,,3.0,3.0,,$74,$0,, Europe
193,Air France/KLM,Air France,Boeing 747,,,73.0,73.0,,$316,$0,, Europe
194,Air France/KLM,KLM,Boeing 747,20.0,,26.0,46.0,,$316,"$6,316",21.7, Europe
195,Air France/KLM,Martinair,Boeing 747,1.0,,8.0,9.0,,$316,$316,26.6, Europe
196,Air France/KLM,Transavia,Boeing 757,,,10.0,10.0,,$73,$0,, Europe
197,Air France/KLM,Martinair,Boeing 757,,,2.0,2.0,,$73,$0,, Europe
198,Air France/KLM,Air France,Boeing 767,,,9.0,9.0,,$187,$0,, Europe
199,Air France/KLM,KLM,Boeing 767,,,12.0,12.0,,$187,$0,, Europe
200,Air France/KLM,Martinair,Boeing 767,,,8.0,8.0,,$187,$0,, Europe
201,Air France/KLM,Air France,Boeing 777,70.0,,1.0,71.0,,$295,"$20,619",11.2, Europe
202,Air France/KLM,KLM,Boeing 777,27.0,2.0,,29.0,,$295,"$7,953",8.7, Europe
203,Air France/KLM,Air France,Boeing 787 Dreamliner,1.0,,,1.0,13.0,$265,$265,0.1, Europe
204,Air France/KLM,KLM,Boeing 787 Dreamliner,8.0,3.0,,11.0,13.0,$265,"$2,121",0.7, Europe
205,Air France/KLM,Air France,British Aerospace BAe 146/Avro RJ,,,3.0,3.0,,$14,$0,, Europe
206,Air France/KLM,Transavia,British Aerospace BAe 146/Avro RJ,,,1.0,1.0,,$14,$0,, Europe
207,Air France/KLM,HOP!,Canadair CRJ-100 Series,,,8.0,8.0,,$32,$0,, Europe
208,Air France/KLM,HOP!,Canadair CRJ-1000,14.0,,,14.0,,$49,$686,5.4, Europe
209,Air France/KLM,HOP!,Canadair CRJ-700,12.0,,3.0,15.0,,$41,$492,12.8, Europe
210,Air France/KLM,HOP!,Embraer ERJ-145,16.0,,6.0,22.0,,$20,$314,16.6, Europe
211,Air France/KLM,HOP!,Embraer ERJ-170,15.0,,1.0,16.0,,$39,$581,9.4, Europe
212,Air France/KLM,KLM Cityhopper,Embraer ERJ-170,4.0,,,4.0,13.0,$39,$155,0.5, Europe
213,Air France/KLM,HOP!,Embraer ERJ-190,10.0,,,10.0,,$46,$462,8.8, Europe
214,Air France/KLM,KLM Cityhopper,Embraer ERJ-190,30.0,,,30.0,,$46,"$1,386",5.5, Europe
215,Air France/KLM,KLM Cityhopper,Fokker F50 / F60,,,23.0,23.0,,$18,$0,, Europe
216,Air France/KLM,Air France,Fokker F70 / F100,,,5.0,5.0,,$20,$0,, Europe
217,Air France/KLM,KLM,Fokker F70 / F100,,,6.0,6.0,,$20,$0,, Europe
218,Air France/KLM,KLM Cityhopper,Fokker F70 / F100,13.0,,35.0,48.0,,$20,$260,20.8, Europe
219,Air France/KLM,Air France,McDonnell Douglas DC-10,,,5.0,5.0,,$145,$0,, Europe
220,Air France/KLM,KLM,McDonnell Douglas DC-10,,,12.0,12.0,,$145,$0,, Europe
221,Air France/KLM,Martinair,McDonnell Douglas DC-10,,,5.0,5.0,,$145,$0,, Europe
222,Air France/KLM,Air France,McDonnell Douglas DC-8,,,1.0,1.0,,$6,$0,, Europe
223,Air France/KLM,KLM,McDonnell Douglas DC-8,,,37.0,37.0,,$6,$0,, Europe
224,Air France/KLM,Martinair,McDonnell Douglas DC-8,,,6.0,6.0,,$6,$0,, Europe
225,Air France/KLM,KLM,McDonnell Douglas DC-9,,,25.0,25.0,,$45,$0,, Europe
226,Air France/KLM,Martinair,McDonnell Douglas DC-9,,,4.0,4.0,,$45,$0,, Europe
227,Air France/KLM,KLM,McDonnell Douglas MD-11,,,10.0,10.0,,$175,$0,, Europe
228,Air France/KLM,Martinair,McDonnell Douglas MD-11,,,7.0,7.0,,$175,$0,, Europe
229,Air France/KLM,Martinair,McDonnell Douglas MD-80,,,3.0,3.0,,$45,$0,, Europe
230,Air France/KLM,KLM Cityhopper,Saab 340,,,1.0,1.0,,$8,$0,, Europe
231,Air India,Air India,Airbus A300,,,5.0,5.0,,$75,$0,, Asia
232,Air India,Air India,Airbus A310,,,28.0,28.0,,$75,$0,, Asia
233,Air India,Air India,Airbus A319,22.0,,2.0,24.0,,$90,"$1,971",8.5, Asia
234,Air India,Air India,Airbus A320,26.0,4.0,12.0,42.0,14.0,$98,"$2,548",17.7, Asia
235,Air India,Air India,Airbus A321,20.0,,,20.0,,$115,"$2,298",8.1, Asia
236,Air India,Air India,Airbus A330,,,2.0,2.0,,$240,$0,, Asia
237,Air India,Air India Regional,ATR 42/72,12.0,,3.0,15.0,18.0,$22,$265,8.4, Asia
238,Air India,Air India Express,Boeing 737,23.0,,8.0,31.0,,$74,"$1,702",6.7, Asia
239,Air India,Air India,Boeing 737,,,5.0,5.0,,$74,$0,, Asia
240,Air India,Air India Regional,Boeing 737,,,1.0,1.0,,$74,$0,, Asia
241,Air India,Air India,Boeing 747,3.0,,28.0,31.0,,$316,$947,21.0, Asia
242,Air India,Air India,Boeing 757,,,1.0,1.0,,$73,$0,, Asia
243,Air India,Air India,Boeing 767,,,3.0,3.0,,$187,$0,, Asia
244,Air India,Air India,Boeing 777,15.0,3.0,9.0,27.0,3.0,$295,"$4,418",7.7, Asia
245,Air India,Air India,Boeing 787 Dreamliner,22.0,5.0,,27.0,5.0,$265,"$5,832",3.1, Asia
246,Air India,Air India Regional,Canadair CRJ-700,3.0,,1.0,4.0,,$41,$123,13.7, Asia
247,Air India,Air India,Lockheed L-1011 TriStar,,,1.0,1.0,,$190,$0,, Asia
248,Air India,Air India,McDonnell Douglas DC-8,,,15.0,15.0,,$6,$0,, Asia
249,Air Malta,Air Malta,Airbus A319,3.0,,,3.0,,,,, Europe
250,Air Malta,Air Malta,Airbus A320,6.0,,,6.0,,,,, Europe
251,Air Mauritius,Air Mauritius,ATR 42/72,3.0,,6.0,9.0,,,,9.1, Africa
252,Air Mauritius,Air Mauritius,Airbus A319,2.0,,,2.0,,,,14.6, Africa
253,Air Mauritius,Air Mauritius,Airbus A330,2.0,,,2.0,,,,8.3, Africa
254,Air Mauritius,Air Mauritius,Airbus A340,6.0,,3.0,9.0,,,,16.7, Africa
255,Air Mauritius,Air Mauritius,Airbus A350 XWB,,1.0,,1.0,,,,, Africa
256,Air Mauritius,Air Mauritius,Boeing 747,,,5.0,5.0,,,,, Africa
257,Air Mauritius,Air Mauritius,Boeing 767,,,3.0,3.0,,,,, Africa
258,Air Namibia,Air Namibia,Airbus A319,4.0,,1.0,5.0,,,,6.5, Africa
259,Air Namibia,Air Namibia,Airbus A330,2.0,,,2.0,,,,3.4, Africa
260,Air Namibia,Air Namibia,Airbus A340,,,2.0,2.0,,,,, Africa
261,Air Namibia,Air Namibia,Boeing 737,,,12.0,12.0,,,,, Africa
262,Air Namibia,Air Namibia,Boeing 747,,,6.0,6.0,,,,, Africa
263,Air Namibia,Air Namibia,Boeing 767,,,1.0,1.0,,,,, Africa
264,Air Namibia,Air Namibia,De Havilland Canada DHC-8 Dash 8,,,1.0,1.0,,,,, Africa
265,Air Namibia,Air Namibia,Embraer ERJ-145,4.0,,,4.0,,,,16.6, Africa
266,Air Namibia,Air Namibia,McDonnell Douglas MD-11,,,2.0,2.0,,,,, Africa
267,Air New Zealand,Air New Zealand,Airbus A320,30.0,,,30.0,,$98,"$2,940",7.0, Oceania
268,Air New Zealand,Air New Zealand,Airbus A321,,,,,17.0,$115,$0,, Oceania
269,Air New Zealand,Air New Zealand Link,ATR 42/72,26.0,,8.0,34.0,,$22,$575,7.8, Oceania
270,Air New Zealand,Air New Zealand,Boeing 737,,,51.0,51.0,,$74,$0,, Oceania
271,Air New Zealand,Air New Zealand,Boeing 747,,,15.0,15.0,,$316,$0,, Oceania
272,Air New Zealand,Air New Zealand,Boeing 767,2.0,,21.0,23.0,,$187,$374,22.8, Oceania
273,Air New Zealand,Air New Zealand,Boeing 777,15.0,,,15.0,,$295,"$4,418",7.9, Oceania
274,Air New Zealand,Air New Zealand,Boeing 787 Dreamliner,9.0,1.0,,10.0,3.0,$265,"$2,386",1.7, Oceania
275,Air New Zealand,Air New Zealand Link,Bombardier Q300,23.0,,,23.0,,$31,$720,10.2, Oceania
276,Air New Zealand,Air New Zealand Link,British Aerospace BAe 146/Avro RJ,,,8.0,8.0,,$14,$0,, Oceania
